cycle_index,SOC_actual,SOC_pred,SOH_actual,SOH_pred,RUL_actual,RUL_pred,status,recommendation
135,21.81099717286785,19.37940454078039,68.4925002,68.85192983493398,0.0,26.64168331376876,CRITICAL,Battery health is low (SOH=68.9%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
136,14.760701684039493,19.093726076647577,68.23913974999999,68.74424749858737,0.0,26.832519529686234,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
137,17.247093139013263,19.10942760694179,67.71610235,68.79916786486245,0.0,26.70094881163713,CRITICAL,Battery health is low (SOH=68.8%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
138,16.31729302322884,19.206847681132587,67.73208509999999,68.78692899431246,0.0,26.70094881163713,CRITICAL,Battery health is low (SOH=68.8%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
139,14.079862720531192,19.146108254446595,67.73519605,68.7752149464257,0.0,26.70094881163713,CRITICAL,Battery health is low (SOH=68.8%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
140,12.555041184626043,19.129129829739625,67.4657499,68.78056239431098,0.0,26.56665628011137,CRITICAL,Battery health is low (SOH=68.8%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
141,9.347880073416146,19.201820450188833,67.2094597,68.7737032887108,0.0,26.45982593311184,CRITICAL,Battery health is low (SOH=68.8%) and/or remaining life is short (RUL=26 cycles). Schedule replacement soon.
142,8.6081955262913,18.9028001773457,66.94956895,68.74370542175126,0.0,26.663654897527646,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
143,9.4102726067882,18.946476355137804,66.94572615,68.74207464968002,0.0,26.453296674531483,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=26 cycles). Schedule replacement soon.
144,11.446944223736114,19.11103732825311,66.7003338,68.7772309637336,0.0,26.56240960589818,CRITICAL,Battery health is low (SOH=68.8%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
145,8.260322439836083,18.92083278188329,66.43222155000001,68.69672730245783,0.0,26.600284764245462,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
146,7.346252880689683,18.897042991090938,66.15854494999999,68.68164497659919,0.0,26.55482955826709,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
147,8.587588928370758,18.592339608539323,65.90845795,68.68947283811065,0.0,26.517535644157608,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
148,9.785280637195738,18.805768715151373,65.9233222,68.71861469476475,0.0,26.453296674531483,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=26 cycles). Schedule replacement soon.
149,6.116242324987793,18.868939933012186,65.91465199999999,68.69737495603127,0.0,26.56240960589818,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
150,3.4993859017742013,18.694421609175723,66.1936211,68.64184971235677,0.0,28.18270844199094,CRITICAL,Battery health is low (SOH=68.6%) and/or remaining life is short (RUL=28 cycles). Schedule replacement soon.
151,12.720776682605822,19.3236932345136,68.00608385,68.74485886645697,0.0,26.648536563855284,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
152,11.86457552058752,18.550619414412967,66.97653435000001,68.70320151551915,0.0,26.6112426497458,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
153,11.781140641769712,18.711533645712084,66.45143285,68.70143544225509,0.0,26.675481619371926,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
154,10.625346691838962,18.854964770376892,66.18370635000001,68.684005904523,0.0,26.675481619371926,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
155,8.273610720201958,18.621129715317732,65.93169485,68.65451914835721,0.0,26.600284764245462,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=27 cycles). Schedule replacement soon.
156,8.901892959367437,18.54885907351918,65.6737566,68.65921079997563,0.0,27.514336681197857,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=28 cycles). Schedule replacement soon.
157,5.593224436309461,18.851571063293324,65.66010315,68.63443015869784,0.0,28.44229216631125,CRITICAL,Battery health is low (SOH=68.6%) and/or remaining life is short (RUL=28 cycles). Schedule replacement soon.
158,5.9921658859251234,18.76930953546005,65.38979975,68.6482443607962,0.0,28.59438156394359,CRITICAL,Battery health is low (SOH=68.6%) and/or remaining life is short (RUL=29 cycles). Schedule replacement soon.
159,6.735778951058063,18.76930953546005,65.15164595,68.66991854171046,0.0,28.530142594317464,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=29 cycles). Schedule replacement soon.
160,4.086720401366614,18.76930953546005,65.1678678,68.63828863121824,0.0,28.49284868020798,CRITICAL,Battery health is low (SOH=68.6%) and/or remaining life is short (RUL=28 cycles). Schedule replacement soon.
161,0.8404860960739887,18.74385588129343,65.1705022,68.62821453237767,0.0,28.557087649834106,CRITICAL,Battery health is low (SOH=68.6%) and/or remaining life is short (RUL=29 cycles). Schedule replacement soon.
162,3.839589216753237,18.709093867689813,64.89435405,68.61163518559263,0.0,28.557087649834106,CRITICAL,Battery health is low (SOH=68.6%) and/or remaining life is short (RUL=29 cycles). Schedule replacement soon.
163,0.0,18.897376050306708,64.9036753,68.64242464243188,0.0,28.49284868020798,CRITICAL,Battery health is low (SOH=68.6%) and/or remaining life is short (RUL=28 cycles). Schedule replacement soon.
164,2.438986666294716,18.376633788561335,64.6731807,68.65014044468697,0.0,28.530142594317464,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=29 cycles). Schedule replacement soon.
165,4.483995416944957,18.529543191093037,64.40016965000001,68.68036993710574,0.0,28.530142594317464,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=29 cycles). Schedule replacement soon.
166,2.782532963141599,18.551846852111776,64.37262609999999,68.67092648702483,0.0,28.530142594317464,CRITICAL,Battery health is low (SOH=68.7%) and/or remaining life is short (RUL=29 cycles). Schedule replacement soon.
167,7.04355732852022,20.469539684060326,65.4507682,68.76078535116422,0.0,29.953101415171908,CRITICAL,Battery health is low (SOH=68.8%) and/or remaining life is short (RUL=30 cycles). Schedule replacement soon.
